column0,PurchaseRequisition,PurchaseRequisitionItem,PurchaseReqnItemUniqueID,PurReqnReleaseStatus,PurchaseRequisitionItemText,Material,MaterialGroup,PurchaseRequisitionReleaseDate,PurchasingOrganization,SourceOfSupplyIsAssigned,DeliveryDate,CreationDate,ProcessingStatus,Supplier,FixedSupplier,PurchaseRequisitionType,IsPRBlocked,PurReqCreationDate,DeliveryLt5Days,DeliveryAddressID,PurReqnItemCurrency,StorageLocation,Language,CompanyCode,ItemNetAmount,DecisionFlag,PurchasingGroup,AmountGt10k
9629,10052069,10,1005206900010.0,2,BKS-400 AT Pedal Kit,MZ-RM-S400-08,ZPEDAL,2023-06-29,1710.0,False,2023-07-05,2023-06-29,B,,USSU-VSF84,NB,0,2023-06-29,True,22889,USD,171C,EN,1710.0,8911.35,Reject,Z01,True
176,10002528,10,1000252800010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
7545,10024771,10,1002477100010.0,2,BKS-400 AT Pedal Kit,MZ-RM-S400-08,ZPEDAL,2022-08-15,1710.0,False,2022-08-18,2022-08-13,B,,USSU-VSF84,NB,0,2022-08-13,False,22889,USD,171C,EN,1710.0,124504,Reject,Z01,False
1319,10001863,10,1000186300010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
8466,10034126,10,1003412600010.0,2,BKS-200 Racer Handle Bars,MZ-RM-S200-02,ZHANDLE,2023-03-03,1710.0,False,2023-03-08,2023-03-03,B,,USSU-VSF81,NB,0,2023-03-03,False,22889,USD,171C,EN,1710.0,32000.8,Reject,Z01,False
6696,10081441,10,1008144100010.0,2,BKS-300 Mountain Forks,MZ-RM-S300-05,ZFORK,2023-12-18,1710.0,False,2023-12-21,2023-12-16,B,,USSU-VSF82,NB,0,2023-12-16,False,22889,USD,171C,EN,1710.0,4989.6,Reject,Z01,True
4666,10016811,10,1001681100010.0,2,BKS-200 Racer Frame,MZ-RM-S200-01,ZFRAME,2021-10-13,1710.0,False,2021-10-18,2021-10-13,B,,USSU-VSF82,NB,0,2021-10-13,False,22889,USD,171C,EN,1710.0,685155.6,Reject,Z01,False
2249,10145503,10,1014550300010.0,2,BKS-300 Mountain Wheels,MZ-RM-S300-04,ZWHEEL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,17666.4,Reject,Z01,False
6046,10075506,10,1007550600010.0,2,BKS-300 Mountain Frame,MZ-RM-S300-01,ZFRAME,2023-10-11,1710.0,False,2023-10-16,2023-10-11,B,,USSU-VSF81,NB,0,2023-10-11,False,22889,USD,171C,EN,1710.0,749652,Reject,Z01,False
629,10001438,10,1000143800010.0,5,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
8691,10138987,10,1013898700010.0,2,BKS-200 Racer Brakes,MZ-RM-S200-06,ZBRAKES,2024-05-28,1710.0,False,2024-05-31,2024-05-25,B,,USSU-VSF83,NB,0,2024-05-25,True,22889,USD,171C,EN,1710.0,4220.47,Reject,Z01,True
4868,10009315,10,1000931500010.0,2,BKS-200 Racer Brakes,MZ-RM-S200-06,ZBRAKES,2021-06-21,1710.0,False,2021-06-24,2021-06-19,B,,USSU-VSF83,NB,0,2021-06-19,False,22889,USD,171C,EN,1710.0,33499.44,Reject,Z01,False
530,10003176,10,1000317600010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
5416,10040578,10,1004057800010.0,2,BKS-200 Racer Drive Train,MZ-RM-S200-09,ZTRAIN,2023-05-05,1710.0,False,2023-05-10,2023-05-05,B,,USSU-VSF84,NB,0,2023-05-05,False,22889,USD,171C,EN,1710.0,186779.64,Reject,Z01,False
8755,10024733,10,1002473300010.0,2,BKS-200 Racer Handle Bars,MZ-RM-S200-02,ZHANDLE,2022-08-15,1710.0,False,2022-08-18,2022-08-13,B,,USSU-VSF82,NB,0,2022-08-13,False,22889,USD,171C,EN,1710.0,7211.4,Reject,Z01,True
7038,10004849,10,1000484900010.0,5,IT equipments-A4 Sheets,,44000000,2020-05-28,1710.0,False,2020-06-02,2020-05-28,B,,USSU-VSF85,NB,0,2020-05-28,False,22889,USD,,EN,1710.0,50,Reject,005,True
3188,10145761,10,1014576100010.0,2,BKS-300 Mountain Drive Train,MZ-RM-S300-09,ZTRAIN,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,5133.75,Reject,Z01,True
5154,10008682,10,1000868200010.0,2,BKS-100 Drive Train,MZ-RM-S100-09,ZTRAIN,2021-05-28,1710.0,False,2021-06-03,2021-05-28,B,,USSU-VSF84,NB,0,2021-05-28,True,22889,USD,171C,EN,1710.0,226968,Reject,Z01,False
3365,10145941,10,1014594100010.0,2,BKS-200 Racer Wheels,MZ-RM-S200-04,ZWHEEL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,36160.8,Reject,Z01,False
10163,10081273,10,1008127300010.0,2,BKS-100 Frame,MZ-RM-S100-01,ZFRAME,2023-12-18,1710.0,False,2023-12-21,2023-12-16,B,,USSU-VSF81,NB,0,2023-12-16,False,22889,USD,171C,EN,1710.0,38825.49,Reject,Z01,False
107,10002596,10,1000259600010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
9599,10028411,10,1002841100010.0,2,BKS-300 Mountain Derailleur Gears,MZ-RM-S300-07,ZGEARS,2022-11-16,1710.0,False,2022-11-21,2022-11-15,B,,USSU-VSF84,NB,0,2022-11-15,True,22889,USD,171C,EN,1710.0,178360.56,Reject,Z01,False
4278,10146316,10,1014631600010.0,2,BKS-200 Racer Drive Train,MZ-RM-S200-09,ZTRAIN,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,45311.52,Reject,Z01,False
1861,10001655,10,1000165500010.0,5,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
974,10003090,10,1000309000010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
6677,10079353,10,1007935300010.0,2,BKS-200 Racer Forks,MZ-RM-S200-05,ZFORK,2023-12-11,1710.0,False,2023-12-14,2023-12-09,B,,USSU-VSF83,NB,0,2023-12-09,False,22889,USD,171C,EN,1710.0,110317.6,Reject,Z01,False
8792,10038224,10,1003822400010.0,2,BKS-400 AT Frame,MZ-RM-S400-01,ZFRAME,2023-04-26,1710.0,False,2023-05-01,2023-04-26,B,,USSU-VSF82,NB,0,2023-04-26,False,22889,USD,171C,EN,1710.0,943245,Reject,Z01,False
1257,10001924,10,1000192400010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
8864,10108990,50,1010899000050.0,5,CHERRY KC 1068 Keyboard Black,,ZAGB,2024-04-06,1710.0,True,2024-04-06,2024-04-06,N,,USSU9018,NB,0,2024-04-06,False,22889,EUR,,EN,1710.0,62.62,Reject,002,True
4936,10005260,10,1000526000010.0,2,BKS-100 Brake Set,MZ-RM-S100-06,ZBRAKES,2020-07-10,1710.0,False,2020-07-15,2020-07-10,B,,USSU-VSF83,NB,0,2020-07-10,False,22889,USD,171C,EN,1710.0,47.6,Reject,Z01,True
3281,10145855,10,1014585500010.0,2,BKS-100 Wheel,MZ-RM-S100-04,ZWHEEL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,8700,Reject,Z01,True
4632,10014198,10,1001419800010.0,2,BKS-100 Seat,MZ-RM-S100-03,ZSEAT,2021-08-17,1710.0,False,2021-08-20,2021-08-17,B,,USSU-VSF81,NB,0,2021-08-17,False,22889,USD,171C,EN,1710.0,531,Reject,Z01,True
2907,10146083,10,1014608300010.0,2,BKS-200 Racer Pedal Kit,MZ-RM-S200-08,ZPEDAL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,5400.2,Reject,Z01,True
4786,10004154,10,1000415400010.0,2,BKS-100 Fork,MZ-RM-S100-05,ZFORK,2020-03-16,1710.0,False,2020-03-19,2020-03-14,B,,USSU-VSF83,NB,0,2020-03-14,False,22889,USD,171C,EN,1710.0,50995,Reject,Z01,False
9995,10030351,10,1003035100010.0,2,BKS-300 Mountain Wheels,MZ-RM-S300-04,ZWHEEL,2023-01-10,1710.0,False,2023-01-13,2023-01-10,B,,USSU-VSF84,NB,0,2023-01-10,False,22889,USD,171C,EN,1710.0,18186,Reject,Z01,False
9866,10033894,10,1003389400010.0,2,BKS-100 Handle Bar,MZ-RM-S100-02,ZHANDLE,2023-02-22,1710.0,False,2023-02-27,2023-02-22,B,,USSU-VSF81,NB,0,2023-02-22,False,22889,USD,171C,EN,1710.0,22156,Reject,Z01,False
5199,10008026,10,1000802600010.0,2,BKS-400 AT Brakes,MZ-RM-S400-06,ZBRAKES,2021-06-02,1710.0,False,2021-06-07,2021-03-30,B,,USSU-VSF83,NB,0,2021-03-30,True,22889,USD,171C,EN,1710.0,100.1,Reject,Z01,True
2304,10145558,10,1014555800010.0,2,BKS-300 Mountain Wheels,MZ-RM-S300-04,ZWHEEL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,8833.2,Reject,Z01,True
3482,10146334,10,1014633400010.0,2,BKS-200 Racer Drive Train,MZ-RM-S200-09,ZTRAIN,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,18879.8,Reject,Z01,False
8390,10124141,10,1012414100010.0,2,BKS-400 AT Seat,MZ-RM-S400-03,ZSEAT,2024-05-06,1710.0,False,2024-05-09,2024-05-06,B,,USSU-VSF81,NB,0,2024-05-06,False,22889,USD,171C,EN,1710.0,8322,Reject,Z01,True
3978,10016550,10,1001655000010.0,2,BKS-300 Mountain Forks,MZ-RM-S300-05,ZFORK,2021-09-22,1710.0,False,2021-09-27,2021-09-21,B,,USSU-VSF82,NB,0,2021-09-21,True,22889,USD,171C,EN,1710.0,167983.2,Reject,Z01,False
6755,10128426,10,1012842600010.0,5,Apple AirPods (3rd Gen) Lightning Case,,ZAGB,2024-05-15,1710.0,False,2024-05-15,2024-05-15,B,,USSU9020,NB,0,2024-05-15,False,22889,EUR,,EN,1710.0,407.2,Reject,002,True
10478,10023976,10,1002397600010.0,2,BKS-300 Mountain Handle Bars,MZ-RM-S300-02,ZHANDLE,2022-07-11,1710.0,False,2022-07-14,2022-07-11,B,,USSU-VSF82,NB,0,2022-07-11,False,22889,USD,171C,EN,1710.0,107.65,Reject,Z01,True
2531,10026945,10,1002694500010.0,2,"SEMI25,PD,ExternalProcurement",SG25,L003,2022-09-21,,False,2022-10-06,2022-09-21,N,,,NB,0,2022-09-21,True,22889,USD,171C,EN,1710.0,747.5,Reject,001,True
4175,10022519,10,1002251900010.0,2,BKS-100 Drive Train,MZ-RM-S100-09,ZTRAIN,2022-04-20,1710.0,False,2022-04-25,2022-04-20,B,,USSU-VSF84,NB,0,2022-04-20,False,22889,USD,171C,EN,1710.0,245616.36,Reject,Z01,False
6455,10023250,10,1002325000010.0,2,BKS-200 Racer Forks,MZ-RM-S200-05,ZFORK,2022-06-01,1710.0,False,2022-06-06,2022-06-01,B,,USSU-VSF83,NB,0,2022-06-01,False,22889,USD,171C,EN,1710.0,170387.8,Reject,Z01,False
9791,10043598,10,1004359800010.0,2,BKS-200 Racer Frame,MZ-RM-S200-01,ZFRAME,2023-05-30,1710.0,False,2023-06-02,2023-05-30,B,,USSU-VSF81,NB,0,2023-05-30,False,22889,USD,171C,EN,1710.0,17128.89,Reject,Z01,False
10483,10027789,10,1002778900010.0,2,BKS-300 Mountain Handle Bars,MZ-RM-S300-02,ZHANDLE,2022-10-26,1710.0,False,2022-10-31,2022-10-25,B,,USSU-VSF82,NB,0,2022-10-25,True,22889,USD,171C,EN,1710.0,42785.1,Reject,Z01,False
8197,10021934,10,1002193400010.0,2,BKS-300 Mountain Brakes,MZ-RM-S300-06,ZBRAKES,2022-04-06,1710.0,False,2022-04-11,2022-04-06,B,,USSU-VSF83,NB,0,2022-04-06,False,22889,USD,171C,EN,1710.0,20662.32,Reject,Z01,False
4475,10146514,10,1014651400010.0,2,BKS-400 AT Drive Train,MZ-RM-S400-09,ZTRAIN,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,10391.18,Reject,Z01,False
5633,10023410,10,1002341000010.0,2,BKS-100 Wheel,MZ-RM-S100-04,ZWHEEL,2022-06-08,1710.0,False,2022-06-13,2022-06-08,B,,USSU-VSF84,NB,0,2022-06-08,False,22889,USD,171C,EN,1710.0,58800,Reject,Z01,False
352,10002352,10,1000235200010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
2925,10146101,10,1014610100010.0,2,BKS-200 Racer Pedal Kit,MZ-RM-S200-08,ZPEDAL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,1890.07,Reject,Z01,True
3526,10005757,10,1000575700010.0,2,BKS-100 Pedal Kit,MZ-RM-S100-08,ZPEDAL,2020-10-07,1710.0,False,2020-10-13,2020-10-07,B,,USSU-VSF84,NB,0,2020-10-07,True,22889,USD,171C,EN,1710.0,1759.9,Reject,Z01,True
6363,10081100,10,1008110000010.0,2,BKS-200 Racer Handle Bars,MZ-RM-S200-02,ZHANDLE,2023-12-18,1710.0,False,2023-12-21,2023-12-16,B,,USSU-VSF81,NB,0,2023-12-16,False,22889,USD,171C,EN,1710.0,4946.49,Reject,Z01,True
10542,10023277,10,1002327700010.0,2,BKS-300 Mountain Brakes,MZ-RM-S300-06,ZBRAKES,2022-06-02,1710.0,False,2022-06-07,2022-06-02,B,,USSU-VSF83,NB,0,2022-06-02,False,22889,USD,171C,EN,1710.0,62399.6,Reject,Z01,False
4357,10146396,10,1014639600010.0,2,BKS-300 Mountain Pedal Kit,MZ-RM-S300-08,ZPEDAL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,18343.8,Reject,Z01,False
3684,10005853,10,1000585300010.0,5,"Trad.Good 10,PD,Third Party",TG10,L001,2020-10-30,,False,2020-11-12,2020-11-13,N,,,NB,0,2020-11-13,False,22889,USD,,EN,1710.0,12.92,Reject,001,True
1378,10002148,10,1000214800010.0,5,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
9790,10043581,10,1004358100010.0,2,BKS-100 Frame,MZ-RM-S100-01,ZFRAME,2023-05-30,1710.0,False,2023-06-02,2023-05-30,B,,USSU-VSF81,NB,0,2023-05-30,False,22889,USD,171C,EN,1710.0,1176.53,Reject,Z01,True
8908,10016957,10,1001695700010.0,5,IT equipments-A4 Sheets,,44000000,2021-11-04,1710.0,True,2021-11-09,2021-11-04,N,,USSU-VSF85,NB,0,2021-11-04,False,22889,USD,,EN,1710.0,50,Reject,005,True
9139,10023120,10,1002312000010.0,5,IT equipments-A4 Sheets,,44000000,2022-05-23,1710.0,True,2022-05-26,2022-05-23,N,,USSU-VSF85,NB,0,2022-05-23,False,22889,USD,,EN,1710.0,50,Reject,005,True
2887,10146063,10,1014606300010.0,2,BKS-200 Racer Pedal Kit,MZ-RM-S200-08,ZPEDAL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,36991.37,Reject,Z01,False
3871,10012163,10,1001216300010.0,2,BKS-300 Mountain Pedal Kit,MZ-RM-S300-08,ZPEDAL,2021-07-27,1710.0,False,2021-07-30,2021-07-27,B,,USSU-VSF84,NB,0,2021-07-27,False,22889,USD,171C,EN,1710.0,54648,Reject,Z01,False
2779,10145275,10,1014527500010.0,2,BKS-100 Pedal Kit,MZ-RM-S100-08,ZPEDAL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,5464.37,Reject,Z01,True
3391,10145967,10,1014596700010.0,2,BKS-200 Racer Wheels,MZ-RM-S200-04,ZWHEEL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,11419.2,Reject,Z01,False
3307,10145881,10,1014588100010.0,2,BKS-100 Wheel,MZ-RM-S100-04,ZWHEEL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,300,Reject,Z01,True
3260,10145834,10,1014583400010.0,2,BKS-100 Wheel,MZ-RM-S100-04,ZWHEEL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,2400,Reject,Z01,True
178,10002523,10,1000252300010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
4661,10016485,10,1001648500010.0,2,BKS-100 Frame,MZ-RM-S100-01,ZFRAME,2021-09-15,1710.0,False,2021-09-20,2021-09-14,B,,USSU-VSF81,NB,0,2021-09-14,True,22889,USD,171C,EN,1710.0,425903.86,Reject,Z01,False
7174,10000433,10,1000043300010.0,2,"Trad.Good 20,Reorder Point,SerialNo",TG20,L001,2018-03-23,1710.0,True,2018-03-24,2017-08-29,N,,17300001,NB,0,2017-08-29,True,22889,USD,,EN,1710.0,513,Approve,002,True
5115,10008227,10,1000822700010.0,2,BKS-200 Racer Wheels,MZ-RM-S200-04,ZWHEEL,2021-04-14,1710.0,False,2021-04-19,2021-04-13,B,,USSU-VSF84,NB,0,2021-04-13,True,22889,USD,171C,EN,1710.0,59950.8,Reject,Z01,False
1421,10002111,10,1000211100010.0,5,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
1353,10002175,10,1000217500010.0,5,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
5599,10021977,10,1002197700010.0,2,BKS-300 Mountain Pedal Kit,MZ-RM-S300-08,ZPEDAL,2022-04-06,1710.0,False,2022-04-11,2022-04-06,B,,USSU-VSF84,NB,0,2022-04-06,False,22889,USD,171C,EN,1710.0,23997.4,Reject,Z01,False
5579,10021865,10,1002186500010.0,2,BKS-300 Mountain Derailleur Gears,MZ-RM-S300-07,ZGEARS,2022-04-06,1710.0,False,2022-04-11,2022-04-06,B,,USSU-VSF84,NB,0,2022-04-06,False,22889,USD,171C,EN,1710.0,61116.72,Reject,Z01,False
9387,10013295,10,1001329500010.0,5,Service Material 01,SM0001,YBMM01,2021-08-12,1010.0,False,2021-08-12,2021-08-12,B,10300001,10300001,NB,0,2021-08-12,False,22809,EUR,,EN,1010.0,21,Reject,001,True
9883,10040352,10,1004035200010.0,2,BKS-300 Mountain Handle Bars,MZ-RM-S300-02,ZHANDLE,2023-05-05,1710.0,False,2023-05-10,2023-05-05,B,,USSU-VSF81,NB,0,2023-05-05,False,22889,USD,171C,EN,1710.0,29460.3,Reject,Z01,False
5698,10073778,10,1007377800010.0,2,BKS-400 AT Wheels,MZ-RM-S400-04,ZWHEEL,2023-08-18,1710.0,False,2023-08-23,2023-08-18,B,,USSU-VSF84,NB,0,2023-08-18,False,22889,USD,171C,EN,1710.0,43951.8,Reject,Z01,False
7564,10026162,10,1002616200010.0,2,BKS-400 AT Wheels,MZ-RM-S400-04,ZWHEEL,2022-09-07,1710.0,False,2022-09-12,2022-09-07,B,,USSU-VSF84,NB,0,2022-09-07,False,22889,USD,171C,EN,1710.0,92330.4,Reject,Z01,False
10815,10075989,10,1007598900010.0,5,IT equipments-A4 Sheets,,44000000,2023-11-06,1710.0,True,2023-11-09,2023-11-04,N,,USSU-VSF85,NB,0,2023-11-04,False,22889,USD,,EN,1710.0,50,Reject,005,True
3180,10145753,10,1014575300010.0,2,BKS-300 Mountain Drive Train,MZ-RM-S300-09,ZTRAIN,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,77006.25,Reject,Z01,False
3840,10008827,10,1000882700010.0,2,BKS-100 Frame,MZ-RM-S100-01,ZFRAME,2021-06-09,1710.0,False,2021-06-14,2021-06-08,B,,USSU-VSF81,NB,0,2021-06-08,True,22889,USD,171C,EN,1710.0,455317.11,Reject,Z01,False
6734,10115232,10,1011523200010.0,2,Apple AirPods (3rd Gen) Lightning Case,,ZAGB,2024-04-18,1710.0,True,2024-04-18,2024-04-18,N,,USSU9020,NB,0,2024-04-18,False,22889,EUR,,EN,1710.0,203.6,Reject,002,True
2945,10146123,10,1014612300010.0,2,BKS-400 AT Wheels,MZ-RM-S400-04,ZWHEEL,2024-06-05,1710.0,True,2024-06-10,2024-06-05,N,,USSU-VSF84,NB,0,2024-06-05,False,22889,USD,171C,EN,1710.0,12331.8,Reject,Z01,False
3864,10011842,10,1001184200010.0,2,BKS-200 Racer Frame,MZ-RM-S200-01,ZFRAME,2021-07-26,1710.0,False,2021-07-29,2021-07-24,B,,USSU-VSF82,NB,0,2021-07-24,False,22889,USD,171C,EN,1710.0,131321.49,Reject,Z01,False
87,10002616,10,1000261600010.0,8,Bike Tyre MZ-RM-WR01,MZ-RM-WR01,L002,2019-11-22,,False,2019-12-02,2019-11-22,N,,,NB,0,2019-11-22,True,22889,USD,171C,EN,1710.0,1000,Reject,001,True
8847,10139130,10,1013913000010.0,2,BKS-400 AT Forks,MZ-RM-S400-05,ZFORK,2024-05-28,1710.0,False,2024-05-31,2024-05-25,B,,USSU-VSF83,NB,0,2024-05-25,True,22889,USD,171C,EN,1710.0,37897.8,Reject,Z01,False
